List_A_Item	Best_Match_from_List_B
turtle, green, raw	green split peas
lamb, ground, cooked, broiled	ground pork
game meat, deer, ground, cooked, pan-broiled	none
grape leaves, raw	none
dandelion greens, cooked, boiled, drained, without salt	none
milk, dry, whole, without added vitamin d	whole milk
balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt	steamed whole snow peas
fish, mullet, striped, raw	albacore white tuna
capers, canned	none
margarine, regular, 80% fat, composite, tub, with salt	unsalted butter
margarine, regular, 80% fat, composite, tub, with salt, with added vitamin d	unsalted butter
veal, sirloin, separable lean and fat, raw	none
pork, fresh, variety meats and by-products, stomach, raw	none
candies, soft fruit and nut squares	peanuts
fish, herring, atlantic, pickled	none
pate, chicken liver, canned	none
chicken, broiler, rotisserie, bbq, breast, meat and skin	none
beef, variety meats and by-products, liver, cooked, braised	none
blackberry juice, canned	canned black beans (s&w)
rutabagas, cooked, boiled, drained, without salt	none
alcoholic beverage, distilled, rum, 80 proof	none
fish, carp, raw	none
taro, raw	none
oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed	none
fish, roe, mixed species, raw	shrimp
gravy, turkey, canned, ready-to-serve	none
mollusks, oyster, eastern, canned	none
cheese, parmesan, hard	none
oil, soybean, salad or cooking, (partially hydrogenated)	none
babyfood, fruit, apple and raspberry, strained	original apple sauce (tree top)
beverages, coffee, instant, mocha, sweetened	brewed coffee
whipped cream substitute, dietetic, made from powdered mix	sour cream
lamb, cubed for stew or kabob (leg and shoulder), separable lean only, trimmed to 1/4 fat, cooked, braised	none
beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted	protein powder
alcoholic beverage, wine, table, white	cabernet sauvignon wine
water, bottled, generic	none
escarole, cooked, boiled, drained, no salt added	none
waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt	steamed whole snow peas
pork, fresh, separable fat, cooked	none
water, non-carbonated, bottles, natural fruit flavors, sweetened with low calorie sweetener	pulp free orange juice
beet greens, cooked, boiled, drained, without salt	none
currants, zante, dried	none
grapefruit juice, white, raw	deep red grapefruit
game meat, rabbit, domesticated, composite of cuts, cooked, stewed	ground pork
cream substitute, flavored, liquid	half and half
beverages, cytosport, muscle milk, ready-to-drink	none
duck, domesticated, meat only, cooked, roasted	none
broadbeans (fava beans), mature seeds, cooked, boiled, without salt	whole grain brown lentils
beef, variety meats and by-products, brain, cooked, simmered	none
chicken, broiler, rotisserie, bbq, drumstick, meat and skin	none
beverages, water with added vitamins and minerals, bottles, sweetened, assorted fruit flavors	pulp free orange juice
fish, halibut, atlantic and pacific, raw	albacore white tuna
parsnips, cooked, boiled, drained, without salt	steamed whole carrots
beverages, carbonated, reduced sugar, cola, contains caffeine and sweeteners	coca cola
veal, ground, cooked, broiled	ground pork
spices, mustard seed, ground	garlic
beverages, coffee substitute, cereal grain beverage, powder	none
taro leaves, raw	none
carbonated beverage, chocolate-flavored soda	coca cola
babyfood, apple-banana juice	pulp free orange juice
beef, variety meats and by-products, heart, cooked, simmered	none
quail, cooked, total edible	none
rhubarb, frozen, uncooked	frozen whole okra
game meat, boar, wild, cooked, roasted	none
veal, leg (top round), separable lean and fat, cooked, braised	none
fish, eel, mixed species, raw	shrimp
game meat, moose, cooked, roasted	none
radishes, oriental, cooked, boiled, drained, without salt	steamed whole red bell pepper w/o seed
fish, caviar, black and red, granular	none
burdock root, raw	none
game meat, raccoon, cooked, roasted	none
mollusks, snail, raw	none
cheese, camembert	none
yogurt, greek, plain, nonfat (includes foods for usda's food distribution program)	yogurt
milk dessert bar, frozen, made from lowfat milk	vanilla bean ice cream
mollusks, scallop, (bay and sea), cooked, steamed	none
soymilk, original and vanilla, light, with added calcium, vitamins a and d	soy milk
cheese, mexican, blend, reduced fat	none
beverages, energy drink, vault, citrus flavor	none
cream substitute, powdered, light	half and half
cream substitute, liquid, light	half and half
beverages, orange juice, light, no pulp	pulp free orange juice
guanabana nectar, canned	none
beverages, the coca-cola company, hi-c flashin' fruit punch	none
hearts of palm, raw	none
syrups, corn, high-fructose	none
cheese, swiss, low sodium	none
beverages, energy drink, rockstar	none
chicken, broilers or fryers, meat and skin and giblets and neck, roasted	none
cream substitute, flavored, powdered	half and half
cheese, provolone, reduced fat	none
beverages, energy drink, red bull, sugar free, with added caffeine, niacin, pantothenic acid, vitamins b6 and b12	none
beverages, energy drink, monster, fortified with vitamins c, b2, b3, b6, b12	none
beet greens, raw	none
dandelion greens, raw	none
natto	none
fennel, bulb, raw	steamed celery stalk
game meat, bear, cooked, simmered	none
chicken, broilers or fryers, skin only, cooked, roasted	none
pomegranate juice, bottled	pomegranate w/ seeds
macaroni, vegetable, enriched, cooked	enriched long white rice (mahatma)
beverages, energy drink, rockstar, sugar free	none
beverages, coffee, instant, with whitener, reduced calorie	brewed coffee
veal, composite of trimmed retail cuts, separable lean only, cooked	ground pork
fish, pike, northern, raw	none
lotus root, cooked, boiled, drained, without salt	none
pokeberry shoots, (poke), cooked, boiled, drained, without salt	steamed whole green bell pepper w/o seed
cress, garden, raw	none
lamb, rib, separable lean and fat, trimmed to 1/4 fat, choice, cooked, broiled	none
lamb, rib, separable lean only, trimmed to 1/4 fat, choice, cooked, broiled	none
beverages, energy drink, amp	none
babyfood, fruit, bananas with tapioca, strained	yellow banana flesh only
babyfood, fruit, bananas with tapioca, junior	yellow banana flesh only
soymilk, chocolate and other flavors, light, with added calcium, vitamins a and d	soy milk
fish, sturgeon, mixed species, raw	albacore white tuna
beverages, energy drink, amp, sugar free	none
snacks, sweet potato chips, unsalted	none
milk, fluid, nonfat, calcium fortified (fat free or skim)	none
babyfood, water, bottled, gerber, without added fluoride	none
millet, cooked	whole grain brown lentils
litchis, raw	none
babyfood, dessert, custard pudding, vanilla, strained	none
babyfood, dessert, custard pudding, vanilla, junior	none
beverages, powerade, zero, mixed berry	none
candies, carob, unsweetened	none
beverages, tea, hibiscus, brewed	none
kohlrabi, raw	none
pumpkin flowers, cooked, boiled, drained, without salt	none
fish, herring, atlantic, kippered	albacore white tuna
veal, leg (top round), separable lean and fat, cooked, roasted	none
lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/4 fat, choice, raw	none
veal, composite of trimmed retail cuts, separable lean and fat, cooked	ground pork
kumquats, raw	none
potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added	steamed whole russet potato
figs, dried, stewed	none
beverages, acai berry drink, fortified	coconut milk
snacks, peas, roasted, wasabi-flavored	steamed whole snow peas
chayote, fruit, raw	none
beverages, water, bottled, yumberry, pomegranate with anti-oxidants, zero calories	pomegranate w/ seeds
sweetener, syrup, agave	honey
pears, dried, sulfured, stewed, without added sugar	whole bartlett pear flesh only
veal, leg (top round), separable lean and fat, cooked, pan-fried, breaded	none
veal, leg (top round), separable lean and fat, cooked, pan-fried, not breaded	none
beverages, unilever, slimfast shake mix, powder, 3-2-1 plan	none
beverages, kellogg's, special k protein shake	none
beverages, energy drink, sugar free	none
peanut flour, defatted	peanuts
cheese, cheddar, nonfat or fat free	sharp chedder cheese
cheese, swiss, nonfat or fat free	none
beverages, monster energy drink, low carb	none
beverages, the coca-cola company, nos energy drink, original, grape, loaded cherry, charged citrus, fortified with vitamins b6 and b12	none
beef, variety meats and by-products, kidneys, cooked, simmered	none
game meat, beaver, cooked, roasted	none
beverages, unilever, slimfast shake mix, high protein, whey powder, 3-2-1 plan,	none
balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt	none
broccoli raab, raw	frozen broccoli florets
loganberries, frozen	frozen whole sweet green peas (flav r pac)
sour cream, imitation, cultured	sour cream
blueberries, dried, sweetened	whole blueberry
broccoli raab, cooked	none
babyfood, dessert, peach yogurt	yogurt
beverages, energy drink, vault zero, sugar-free, citrus flavor	none
babyfood, dinner, pasta with vegetables	whole wheat spaghetti
pork, cured, feet, pickled	none
game meat, squirrel, cooked, roasted	none
duck, domesticated, meat only, raw	none
yogurt, greek, strawberry, lowfat	yogurt
yogurt, greek, fruit, whole milk	yogurt
beverages, tea, green, brewed, regular	none
grapefruit juice, pink or red, with added calcium	deep red grapefruit
beverages, amber, hard cider	none
grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium	pulp free orange juice
alcoholic beverages, beer, higher alcohol	budweiser
egg, quail, whole, fresh, raw	brown egg yolk
yogurt, greek, strawberry, nonfat	yogurt
beverages, tea, green, ready to drink, unsweetened	none
alcoholic beverage, beer, light, higher alcohol	budweiser
fish, salmon, sockeye, raw	none
wasabi	none
beans, yellow, mature seeds, cooked, boiled, without salt	canned black beans (s&w)
yogurt, greek, vanilla, nonfat	yogurt
beverages, coffee, ready to drink, milk based, sweetened	brewed coffee
beverages, the coca-cola company, glaceau vitamin water, revive fruit punch, fortified	none
beverages, tea, green, ready-to-drink, sweetened	none
kefir, lowfat, plain, lifeway	yogurt
kefir, lowfat, strawberry, lifeway	none
alcoholic beverage, beer, light, low carb	budweiser
beverages, tea, green, ready-to-drink, diet	none
beverages, malted drink mix, natural, powder, dairy based.	none
alcoholic beverages, wine, rose	cabernet sauvignon wine
succotash, (corn and limas), frozen, cooked, boiled, drained, without salt	frozen whole sweet green peas (flav r pac)
cheese, mexican, queso cotija	none
margarine-like, vegetable oil-butter spread, reduced calorie, tub, with salt	unsalted butter
mollusks, octopus, common, raw	shrimp
beverages, apple juice drink, light, fortified with vitamin c	pulp free orange juice
beverages, kellogg's special k20 protein powder	protein powder
mollusks, abalone, mixed species, raw	shrimp
beverages, powerade zero ion4, calorie-free, assorted flavors	none
peaches, dried, sulfured, stewed, without added sugar	none
beverages, energy drink, full throttle	none
potatoes, mashed, home-prepared, whole milk added	steamed whole russet potato
dove, cooked (includes squab)	none
beverages,  energy drink, citrus	pulp free orange juice
cereals ready-to-eat, barbara's puffins, original	honey nut oat cereal
babyfood, grape juice, no sugar, canned	none
child formula, abbott nutrition, pediasure, ready-to-feed	none
passion-fruit, (granadilla), purple, raw	tai nung papaya
noodles, egg, spinach, enriched, cooked	stir fry rice noodle
sweet potato leaves, cooked, steamed, without salt	steamed whole sweet potato
chicken, broilers or fryers, back, meat and skin, cooked, stewed	none
beverages, ocean spray, cran-energy, cranberry energy juice drink	cranberry
cheese, fontina	none
mollusks, octopus, common, cooked, moist heat	shrimp
carob flour	soy flour
radishes, hawaiian style, pickled	none
soup, beef broth, less/reduced sodium, ready to serve	chunky vegetable soup
